city,country,region,latitude,longitude,population,affordability_score,digital_score,startup_score,urban_score,innovation_score,talent_score,growth_score,opportunity_index,cluster,cluster_name
Vancouver,Canada,Americas,49.25,-123.133333,1837970.0,4.95,6.59,5.0,4.71,2.52,6.05,4.68,4.92,3,Digital Leaders
Mexico City,Mexico,Americas,19.4326,-99.1332,9209944.0,4.29,4.78,5.0,7.94,1.3,4.35,2.82,4.25,4,Emerging Markets
Sao Paulo,Brazil,Americas,-23.473293,-46.665803,10021437.0,4.04,5.2,5.0,8.84,1.88,5.17,2.54,4.61,4,Emerging Markets
Buenos Aires,Argentina,Americas,8.859575999999999,-83.50224200000001,11680.0,4.82,5.99,5.0,6.15,1.25,6.56,1.95,4.45,1,Balanced Cities
Bogota,Colombia,Americas,4.649178,-74.062827,7102602.0,4.45,5.05,5.0,7.07,1.17,4.96,2.74,4.24,4,Emerging Markets
Lima,Peru,Americas,-12.05,-77.05,7646786.0,4.48,4.12,5.0,8.34,1.2,5.68,2.34,4.36,4,Emerging Markets
Santiago,Chile,Americas,-33.45,-70.666667,4837248.0,4.55,6.1,5.0,7.07,0.92,6.44,2.74,4.64,1,Balanced Cities
Dubai,UAE,Middle East,25.258172,55.304717,1137376.0,5.78,5.51,5.0,5.09,4.26,5.19,4.96,5.13,3,Digital Leaders
Abu Dhabi,UAE,Middle East,24.466667,54.36666700000001,603687.0,5.9,5.45,5.0,5.04,4.26,5.19,5.42,5.21,3,Digital Leaders
Tel Aviv,Israel,Middle East,32.066666999999995,34.766667,1137376.0,5.87,5.51,5.0,6.82,4.22,5.33,5.25,5.5,0,Established Hubs
Istanbul,Turkey,Middle East,41.018611,28.964722,9797536.0,4.07,6.94,5.0,7.32,4.3,5.04,5.25,5.49,0,Established Hubs
Cairo,Egypt,Africa & Middle East,30.05,31.25,7734602.0,4.67,3.23,5.0,6.32,1.24,2.43,2.61,3.42,4,Emerging Markets
Nairobi,Kenya,Africa & Middle East,-1.2833333,36.8166667,2750561.0,4.66,1.17,5.0,5.31,0.99,1.76,3.35,2.87,4,Emerging Markets
Lagos,Nigeria,Africa & Middle East,6.453056,3.395833,8789133.0,3.19,1.27,5.0,6.33,0.88,0.42,3.68,2.63,4,Emerging Markets
Johannesburg,South Africa,Africa & Middle East,-26.205171,28.049815,2026466.0,7.1,4.01,5.0,6.09,0.9,4.1,3.18,4.23,2,Rising Stars
Casablanca,Morocco,Africa & Middle East,33.592779,-7.619157,3609698.0,4.71,4.72,5.0,6.33,1.04,3.07,2.59,3.74,4,Emerging Markets
